Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
          6762222266,             unknown,"         3,34667E+12",                 nan,          PZF-133233,                YJ02,                  AU,            54944454,                   1,                   1,28.21,                  PK,                   P,          2023-07-10,17.81,                  -1
          6762222265,             unknown,"         3,34667E+12",                 nan,           PZF-13321,                YJ02,                  AU,            54944454,                   1,                   1,28.21,                 PCE,                   P,          2023-07-10,17.81,                  -1
          6762222266,             unknown,"         3,34667E+12",                 nan,           PZF-13322,                YJ02,                  AU,            54944454,                   1,                   1,60.20,                 PCE,                   P,          2023-07-10,86.60,                  -1
          6762222267,             unknown,"         3,34667E+12",                 nan,          PZF-333375,                YJ02,                  AU,            54944454,                   1,                   1,82.21,                 PCE,                   P,          2023-07-10,87.70,                  -1
          6762222263,             unknown,"         3,34667E+12",                 nan,           PZF-13327,                YJ02,                  AU,            54944454,                   1,                   1,60.20,                 PCE,                   P,          2023-07-10,86.60,                  -1
          6762222263,             unknown,"         3,34667E+12",                 nan,          PZF-333352,                YJ02,                  AU,            54944454,                   1,                   1,12.21,                 PCE,                   P,          2023-07-10,77.10,                  -1
          6762222252,             unknown,"         3,34667E+12",                 nan,          PZF-333377,                YJ02,                  AU,            54944454,                   1,                   1,12.21,                 PCE,                   P,          2023-07-10,77.10,                  -1
          6762222251,             unknown,"         3,34667E+12",                 nan,          PZF-333364,                YJ02,                  AU,            54944454,                   1,                   1,68.10,                 PCE,                   P,          2023-07-10,87.10,                  -1
          6762222252,             unknown,"         3,34667E+12",                 nan,          PZF-333362,                YJ02,                  AU,            54944454,                   1,                   1,68.10,                 PCE,                   P,          2023-07-10,87.10,                  -1
          6762222253,             unknown,"         3,34667E+12",                 nan,          PZF-333363,                YJ02,                  AU,            54944454,                   1,                   1,68.10,                 PCE,                   P,          2023-07-10,87.10,                  -1
          6762222256,             unknown,"         3,34667E+12",                 nan,          PZF-333378,                YJ02,                  AU,            54944454,                   1,                   1,60.21,                 PCE,                   P,          2023-07-10,78.86,                  -1
          6762222255,             unknown,"         3,34667E+12",                 nan,          PZF-133333,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                 PCE,                   P,          2023-07-10,88.81,                  -1
          6762222256,             unknown,"         3,34667E+12",                 nan,           PZF-13328,                YJ02,                  AU,            54944454,                   1,                   1,88.21,                 PCE,                   P,          2023-07-10,88.68,                  -1
          6762222257,             unknown,"         3,34667E+12",                 nan,           PZF-11331,                YJ02,                  AU,            54944454,                   1,                   1,78.21,                 PCE,                   P,          2023-07-10,87.76,                  -1
