Artikelnummer | NW-Katalogartikelnummer,(Kurz)Bezeichnung | BMEcat-Kurztext,EAN - EAN,Hersteller | Lieferant-Name 1,HTrstTllTr-ArtikTlNr. | WTrksnummTr LiTfTrant,Konditionsgruppe - (NW-KS),Ursprungsland - Ursprungsland,Zolltarifnummer - Zolltarifnummer,Preiseinheit - Preiseinheit Verkauf,Gebindemenge / BMEcat Verpackungsmenge,Katalogpreis / empf. VK - VK Brutto Preis ./. Rabatt,BMEcat Inhaltseinheit / Basismengeneinheit (BME),Versand-Kz. - KZ Versandkennzeichen NW,Preisdatum EK / Konditionsdatum,"Netto-Einkaufspreis (indiv., falls vorh.)",Kennzeichen Preis gepflegt
3222666637,unknown,"1,32216E+12",,T63333M6NO3,ZK23,IN,69474414,1,1,88.21,PCE,P,18/08/2023,16.87,-1
3222666633,unknown,"1,32216E+12",,T63333M8NO1,ZK23,IN,69474414,1,1,16.20,PCE,P,18/08/2023,80.78,-1
3222666633,unknown,"1,32216E+12",,T63333M8NO2,ZK23,IN,69474414,1,1,16.20,PCE,P,18/08/2023,80.78,-1
3222666632,unknown,"1,32216E+12",,T63333M8NO3,ZK23,IN,69474414,1,1,16.20,PCE,P,18/08/2023,80.78,-1
3222666631,unknown,"1,32216E+12",,T6335M133,ZK23,IN,69474414,1,1,78.20,PCE,P,18/08/2023,78.88,-1
3222666632,unknown,"1,32216E+12",,T6335M12,ZK23,IN,69474414,1,1,28.80,PCE,P,18/08/2023,88.77,-1
3222666633,unknown,"1,32216E+12",,T6335M14,ZK23,IN,69474414,1,1,620.00,PCE,P,18/08/2023,78.00,-1
3222666636,unknown,"1,32216E+12",,T6335M16,ZK23,IN,69474414,1,1,622.00,PCE,P,18/08/2023,78.80,-1
3222666635,unknown,"1,32216E+12",,T6335M233,ZK23,IN,69474414,1,1,802.00,PCE,P,18/08/2023,818.80,-1
3222666636,unknown,"1,32216E+12",,T6335M3,ZK23,IN,69474414,1,1,88.20,PCE,P,18/08/2023,18.88,-1
3222666637,unknown,"1,32216E+12",,T6335M4,ZK23,IN,69474414,1,1,82.01,PCE,P,18/08/2023,18.78,-1
3222666633,unknown,"1,32216E+12",,T6335M5,ZK23,IN,69474414,1,1,16.80,PCE,P,18/08/2023,88.08,-1
3222666633,unknown,"1,32216E+12",,T6335M6,ZK23,IN,69474414,1,1,18.60,PCE,P,18/08/2023,88.16,-1
3222666522,unknown,"1,32216E+12",,T6335M8,ZK23,IN,69474414,1,1,12.80,PCE,P,18/08/2023,88.67,-1
3222666521,unknown,"1,32216E+12",,T6336M133,ZK23,IN,69474414,1,1,61.70,PCE,P,18/08/2023,88.71,-1
3222666522,unknown,"1,32216E+12",,T6336M12,ZK23,IN,69474414,1,1,88.00,PCE,P,18/08/2023,80.70,-1
3222666526,unknown,"1,32216E+12",,T6336M16,ZK23,IN,69474414,1,1,686.00,PCE,P,18/08/2023,71.60,-1
3222666525,unknown,"1,32216E+12",,T6336M233,ZK23,IN,69474414,1,1,688.00,PCE,P,18/08/2023,880.70,-1
3222666526,unknown,"1,32216E+12",,T6336M24,ZK23,IN,69474414,1,1,882.00,PCE,P,18/08/2023,878.80,-1
3222666527,unknown,"1,32216E+12",,T6336M3,ZK23,IN,69474414,1,1,82.21,PCE,P,18/08/2023,16.87,-1
3222666523,unknown,"1,32216E+12",,T6336M4,ZK23,IN,69474414,1,1,88.60,PCE,P,18/08/2023,16.76,-1
3222666523,unknown,"1,32216E+12",,T6336M5,ZK23,IN,69474414,1,1,87.60,PCE,P,18/08/2023,18.16,-1
